target	id_target	neighbor	id_neighbor	cosine
arc-en-ciel	10	castor	15	0.0033689437
grizzli	19	licorne	13	0.0015374147
grenouille	7	licorne	13	0.0047135284
banane	12	crétin	14	0.0133689152
banane	12	yak	18	0.0262047864
castor	15	nazi	9	0.0214002457
crétin	14	corpus	11	-0.0002423049
nazi	9	castor	15	0.0214002457
corpus	11	crétin	14	-0.0002423049
loutre	17	avion	0	0.0095648081
avion	0	loutre	17	0.0095648081
yak	18	corpus	11	0.0005918463
loutre	17	licorne	13	-0.0000183534
castor	15	arabe	8	0.0225274485
crétin	14	arc-en-ciel	10	0.0094079769
licorne	13	loutre	17	-0.0000183534
arc-en-ciel	10	crétin	14	0.0094079769
corpus	11	yak	18	0.0005918463
arabe	8	castor	15	0.0225274485
loutre	17	banane	12	0.0043239428
banane	12	loutre	17	0.0043239428
yak	18	arc-en-ciel	10	-0.0017403100
crétin	14	nazi	9	0.0179878873
arc-en-ciel	10	yak	18	-0.0017403100
nazi	9	crétin	14	0.0179878873
licorne	13	cheval	6	0.0032938220
castor	15	grenouille	7	0.0293623541
cheval	6	licorne	13	0.0032938220
grenouille	7	castor	15	0.0293623541
yak	18	nazi	9	0.0302611169
nazi	9	yak	18	0.0302611169
crétin	14	arabe	8	-0.0013965580
licorne	13	chat	5	0.0311204267
yak	18	arabe	8	0.0190657773
castor	15	cheval	6	0.0199592490
licorne	13	grizzli	19	0.0015374147
cheval	6	castor	15	0.0199592490
loutre	17	corpus	11	0.0000000000
arabe	8	yak	18	0.0190657773
corpus	11	loutre	17	0.0000000000
grizzli	19	banane	12	0.0287552596
banane	12	grizzli	19	0.0287552596
loutre	17	arc-en-ciel	10	0.0000000000
castor	15	chat	5	0.0217017319
chat	5	licorne	13	0.0311204267
yak	18	grenouille	7	0.0052366750
chat	5	castor	15	0.0217017319
arabe	8	crétin	14	-0.0013965580
grenouille	7	yak	18	0.0052366750
licorne	13	russe	4	0.0299433600
crétin	14	grenouille	7	0.0085139449
castor	15	russe	4	0.0242668066
russe	4	licorne	13	0.0299433600
russe	4	castor	15	0.0242668066
yak	18	cheval	6	0.0114980248
grenouille	7	crétin	14	0.0085139449
cheval	6	yak	18	0.0114980248
yak	18	chat	5	0.0048163193
licorne	13	oiseau	3	0.0096045668
chat	5	yak	18	0.0048163193
banane	12	corpus	11	0.0061940869
corpus	11	banane	12	0.0061940869
castor	15	oiseau	3	0.0207391330
grizzli	19	corpus	11	0.0546067095
oiseau	3	castor	15	0.0207391330
corpus	11	grizzli	19	0.0546067095
banane	12	arc-en-ciel	10	0.0068778452
arc-en-ciel	10	banane	12	0.0068778452
grizzli	19	arc-en-ciel	10	0.0006935148
oiseau	3	licorne	13	0.0096045668
arc-en-ciel	10	grizzli	19	0.0006935148
castor	15	voiture	2	-0.0146848676
grizzli	19	nazi	9	0.0009340278
poney	16	castor	15	0.0009419085
banane	12	nazi	9	0.0133301245
nazi	9	grizzli	19	0.0009340278
nazi	9	banane	12	0.0133301245
arc-en-ciel	10	loutre	17	0.0000000000
castor	15	poney	16	0.0009419085
crétin	14	cheval	6	0.0233236150
grizzli	19	arabe	8	0.0147467390
voiture	2	castor	15	-0.0146848676
arabe	8	grizzli	19	0.0147467390
loutre	17	nazi	9	0.0025872000
nazi	9	loutre	17	0.0025872000
cheval	6	crétin	14	0.0233236150
grizzli	19	grenouille	7	0.0036816269
loutre	17	arabe	8	-0.0035623810
grenouille	7	grizzli	19	0.0036816269
arabe	8	loutre	17	-0.0035623810
grizzli	19	cheval	6	0.0182158306
poney	16	avion	0	0.0011494376
crétin	14	chat	5	0.0166147543
loutre	17	grenouille	7	0.0095438132
chat	5	crétin	14	0.0166147543
yak	18	russe	4	0.0631584016
castor	15	chrétien	1	0.0312597845
grenouille	7	loutre	17	0.0095438132
chrétien	1	castor	15	0.0312597845
cheval	6	grizzli	19	0.0182158306
crétin	14	russe	4	0.0075317575
loutre	17	cheval	6	0.0110360519
russe	4	crétin	14	0.0075317575
corpus	11	avion	0	0.0071207733
russe	4	yak	18	0.0631584016
cheval	6	loutre	17	0.0110360519
avion	0	poney	16	0.0011494376
poney	16	licorne	13	0.0429519823
licorne	13	voiture	2	-0.0000916487
banane	12	arabe	8	0.0380260319
voiture	2	licorne	13	-0.0000916487
yak	18	oiseau	3	0.0000349921
arabe	8	banane	12	0.0380260319
avion	0	corpus	11	0.0071207733
oiseau	3	yak	18	0.0000349921
crétin	14	oiseau	3	0.0062743338
licorne	13	chrétien	1	0.0338919479
oiseau	3	crétin	14	0.0062743338
chrétien	1	licorne	13	0.0338919479
yak	18	voiture	2	-0.0236512561
licorne	13	poney	16	0.0429519823
voiture	2	yak	18	-0.0236512561
arc-en-ciel	10	avion	0	-0.0012046850
corpus	11	arc-en-ciel	10	0.0004050509
grizzli	19	chat	5	0.0047124650
arc-en-ciel	10	corpus	11	0.0004050509
chat	5	grizzli	19	0.0047124650
loutre	17	chat	5	0.0212308409
crétin	14	voiture	2	-0.0103310288
chat	5	loutre	17	0.0212308409
voiture	2	crétin	14	-0.0103310288
avion	0	arc-en-ciel	10	-0.0012046850
poney	16	banane	12	-0.0001722980
crétin	14	chrétien	1	0.0054515970
banane	12	poney	16	-0.0001722980
chrétien	1	crétin	14	0.0054515970
arc-en-ciel	10	nazi	9	0.0014668165
nazi	9	arc-en-ciel	10	0.0014668165
yak	18	chrétien	1	0.0060747873
chrétien	1	yak	18	0.0060747873
corpus	11	nazi	9	0.0106365978
arc-en-ciel	10	arabe	8	0.0245029248
poney	16	corpus	11	0.0000000000
loutre	17	russe	4	0.0023423171
russe	4	loutre	17	0.0023423171
arabe	8	arc-en-ciel	10	0.0245029248
banane	12	grenouille	7	0.0332328706
nazi	9	corpus	11	0.0106365978
grenouille	7	banane	12	0.0332328706
nazi	9	avion	0	0.0114571173
avion	0	nazi	9	0.0114571173
loutre	17	oiseau	3	0.0430046398
oiseau	3	loutre	17	0.0430046398
corpus	11	arabe	8	0.0043419890
arabe	8	corpus	11	0.0043419890
loutre	17	voiture	2	-0.0060596691
voiture	2	loutre	17	-0.0060596691
nazi	9	arabe	8	0.0253069188
corpus	11	grenouille	7	0.0081288205
arabe	8	nazi	9	0.0253069188
loutre	17	chrétien	1	-0.0000408037
chrétien	1	loutre	17	-0.0000408037
arabe	8	avion	0	0.0298008985
grenouille	7	corpus	11	0.0081288205
avion	0	arabe	8	0.0298008985
nazi	9	grenouille	7	0.0252685566
grenouille	7	nazi	9	0.0252685566
corpus	11	cheval	6	0.0217642000
cheval	6	corpus	11	0.0217642000
corpus	11	chat	5	0.0183111778
chat	5	corpus	11	0.0183111778
grenouille	7	avion	0	0.0232174675
nazi	9	cheval	6	0.0474528858
avion	0	grenouille	7	0.0232174675
cheval	6	nazi	9	0.0474528858
corpus	11	russe	4	0.0333871534
russe	4	corpus	11	0.0333871534
corpus	11	oiseau	3	0.0114227851
nazi	9	chat	5	0.0194789173
oiseau	3	corpus	11	0.0114227851
chat	5	nazi	9	0.0194789173
arabe	8	grenouille	7	0.0221627232
grenouille	7	cheval	6	0.0179444897
cheval	6	grenouille	7	0.0179444897
nazi	9	russe	4	0.0209081815
corpus	11	voiture	2	-0.0114499566
voiture	2	corpus	11	-0.0114499566
grizzli	19	russe	4	0.0018836011
corpus	11	chrétien	1	0.0283594636
chrétien	1	corpus	11	0.0283594636
banane	12	cheval	6	0.0197990386
grenouille	7	arabe	8	0.0221627232
cheval	6	banane	12	0.0197990386
grenouille	7	chat	5	0.0327915356
russe	4	nazi	9	0.0209081815
chat	5	grenouille	7	0.0327915356
nazi	9	oiseau	3	0.0118727214
oiseau	3	nazi	9	0.0118727214
nazi	9	voiture	2	-0.0164783820
grenouille	7	russe	4	0.0297464243
voiture	2	nazi	9	-0.0164783820
russe	4	grenouille	7	0.0297464243
nazi	9	chrétien	1	0.0587062273
chrétien	1	nazi	9	0.0587062273
arabe	8	cheval	6	0.0284831239
cheval	6	avion	0	0.0459761641
cheval	6	arabe	8	0.0284831239
avion	0	cheval	6	0.0459761641
grenouille	7	oiseau	3	0.0599026170
oiseau	3	grenouille	7	0.0599026170
grenouille	7	voiture	2	-0.0285225124
voiture	2	grenouille	7	-0.0285225124
chat	5	avion	0	0.0301318518
avion	0	chat	5	0.0301318518
arabe	8	chat	5	0.0400764174
chat	5	arabe	8	0.0400764174
cheval	6	chat	5	0.0492054994
chat	5	cheval	6	0.0492054994
grenouille	7	chrétien	1	0.0359287574
chrétien	1	grenouille	7	0.0359287574
russe	4	avion	0	0.0396967768
avion	0	russe	4	0.0396967768
chat	5	russe	4	0.0381656055
russe	4	chat	5	0.0381656055
arabe	8	russe	4	0.0333253142
russe	4	arabe	8	0.0333253142
cheval	6	russe	4	0.0356902017
russe	4	cheval	6	0.0356902017
russe	4	oiseau	3	0.0230402103
oiseau	3	russe	4	0.0230402103
chat	5	oiseau	3	0.0518950661
oiseau	3	chat	5	0.0518950661
russe	4	voiture	2	-0.0254388084
arabe	8	oiseau	3	0.0255575699
voiture	2	russe	4	-0.0254388084
oiseau	3	arabe	8	0.0255575699
cheval	6	oiseau	3	0.0349105733
oiseau	3	cheval	6	0.0349105733
russe	4	chrétien	1	0.0400693327
chrétien	1	russe	4	0.0400693327
chat	5	voiture	2	-0.0362537645
voiture	2	chat	5	-0.0362537645
arabe	8	voiture	2	-0.0227213627
voiture	2	arabe	8	-0.0227213627
cheval	6	voiture	2	-0.0118981979
voiture	2	cheval	6	-0.0118981979
chat	5	chrétien	1	0.0217744104
chrétien	1	chat	5	0.0217744104
arabe	8	chrétien	1	0.0389486564
chrétien	1	arabe	8	0.0389486564
cheval	6	chrétien	1	0.0065461028
chrétien	1	cheval	6	0.0065461028
oiseau	3	avion	0	0.0436774626
avion	0	oiseau	3	0.0436774626
chrétien	1	avion	0	0.0130172009
avion	0	chrétien	1	0.0130172009
arc-en-ciel	10	grenouille	7	0.0003510295
grenouille	7	arc-en-ciel	10	0.0003510295
russe	4	grizzli	19	0.0018836011
arc-en-ciel	10	cheval	6	0.0071550464
cheval	6	arc-en-ciel	10	0.0071550464
grizzli	19	oiseau	3	-0.0046584194
oiseau	3	grizzli	19	-0.0046584194
arc-en-ciel	10	chat	5	0.0102846749
chat	5	arc-en-ciel	10	0.0102846749
grizzli	19	voiture	2	-0.0070177248
voiture	2	grizzli	19	-0.0070177248
arc-en-ciel	10	russe	4	0.0043493737
grizzli	19	chrétien	1	0.0123808835
russe	4	arc-en-ciel	10	0.0043493737
chrétien	1	grizzli	19	0.0123808835
arc-en-ciel	10	oiseau	3	0.0202253365
oiseau	3	arc-en-ciel	10	0.0202253365
arc-en-ciel	10	voiture	2	0.0026797510
voiture	2	arc-en-ciel	10	0.0026797510
arc-en-ciel	10	chrétien	1	0.0039455783
chrétien	1	arc-en-ciel	10	0.0039455783
oiseau	3	voiture	2	-0.0346648963
voiture	2	oiseau	3	-0.0346648963
voiture	2	avion	0	-0.0257031429
avion	0	voiture	2	-0.0257031429
oiseau	3	chrétien	1	0.0236251474
chrétien	1	oiseau	3	0.0236251474
corpus	11	poney	16	0.0000000000
poney	16	arc-en-ciel	10	0.0000000000
arc-en-ciel	10	poney	16	0.0000000000
poney	16	nazi	9	0.0006735124
nazi	9	poney	16	0.0006735124
poney	16	arabe	8	-0.0013238058
arabe	8	poney	16	-0.0013238058
poney	16	grenouille	7	0.0000585190
grenouille	7	poney	16	0.0000585190
poney	16	cheval	6	0.0188576359
cheval	6	poney	16	0.0188576359
poney	16	chat	5	0.0144356096
chat	5	poney	16	0.0144356096
poney	16	russe	4	0.0004736928
russe	4	poney	16	0.0004736928
poney	16	oiseau	3	0.0007990232
oiseau	3	poney	16	0.0007990232
poney	16	voiture	2	0.0039819642
voiture	2	poney	16	0.0039819642
poney	16	chrétien	1	0.0236603303
chrétien	1	poney	16	0.0236603303
voiture	2	chrétien	1	-0.0169279841
chrétien	1	voiture	2	-0.0169279841
banane	12	chat	5	0.0112633736
chat	5	banane	12	0.0112633736
banane	12	russe	4	0.0169637275
russe	4	banane	12	0.0169637275
banane	12	oiseau	3	0.0311902631
oiseau	3	banane	12	0.0311902631
banane	12	voiture	2	-0.0246631283
voiture	2	banane	12	-0.0246631283
banane	12	chrétien	1	0.0100716114
chrétien	1	banane	12	0.0100716114
